"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"KDELR1",41.2078,32.64511,35.84659,38.57007,33.49191,47.45987,42.10321,49.22795,48.942678,59.28102,57.68131,41.6154,26.9727
"KDM5D",60.27709816,64.9425214,62.907656,66.17119402,0.7102652,59.01951,63.83875009,87.443816,0.4660956,0.32494186,81.55187523,42.70335628,0.484099
"KHDRBS1",24.515412,20.36667,43.39481,24.941749,22.45924,35.231839,38.811877,31.39432,34.62291,44.54288,45.665102,33.152714,17.31695
"KIF13B",8.9763942,5.997093,3.26725,5.289034,5.127602,4.722675,7.582768,6.077293,4.179059,6.52028577,4.8393371,5.797127,7.599733
"KIF5B",48.2862,53.9971,56.19,61.3288,59.7106,52.8861,37.3842,35.3723,37.3791,36.3646,35.1354,46.8504,46.1979
"KIR2DL1",17.14947,5.773857,12.94767,10.60547,9.61476,17.10848,2.80628,5.72285,8.943565,11.336548,12.6512,6.90872,6.6958
"KIR2DL3",34.2288,4.89165,30.3758,8.47433,15.4652,13.3896,7.57024,21.4417,27.68,28.4891,17.9352,6.4685,12.5895
"KIR2DL4",7.62798,2.19674,4.427120004,0.274807,12.16147,8.235782,2.235427,0.552701,5.719961,1.929957,8.435845,2.041764,11.20247
"KIR3DL1",3.675619,10.5377,55.61808,17.7073,16.3781,19.3833,10.393196,7.7391,36.15637,36.19955,42.814479,7.30788,23.4223
"KIRREL3",1.2054796,0.411329,1.439751,0.643066,0.7838396,0.9760607,1.433968,0.214079,0.528081,1.821457,0.581535,1.3678847,0.740714
"KIT",1.384337,0.0175874,1.71109,0.278998,2.087526,0.89131,0.719887,0.5197881,1.672146,1.60464,2.230175,0.9600597,2.160517
