"from","to","strength","direction"
"DTX3L","PARP9",0.8,0.55
"HERC5","IFIT1",0.84,0.785
"AIF1","LGALS3",0.72,0.864166666666667
"CRKL","GPS2",0.77,0.840833333333333
"FLT4","MAP3K5",0.81,0.785833333333333
"ARRB2","HMGB1",0.75,0.723333333333333
"BAX","GAS6",0.79,0.93
"B4GALT1","NFE2L2",0.76,0.888333333333333
"EREG","TNFAIP3",0.74,0.8025
"IL6","NOTCH4",0.75,0.915
"MPIG6B","TREML1",0.99,0.97
"CD96","HLA-F",0.74,0.910833333333333
"ANXA1","HMGB1",0.7,0.875
"ANXA1","IRF4",0.7,0.836666666666667
"NCKAP1L","RUNX3",0.85,0.694166666666667
"ANXA1","SOCS1",0.75,0.922916666666667
"CD83","NFKBID",0.72,0.888333333333333
"IFNG","SASH3",0.74,0.7625
"IHH","SOCS1",0.73,0.9625
"ZAP70","CD86",0.71,0.545
"GPAM","WNT5A",0.78,0.855833333333333
"ENPP3","UNC13D",0.76,0.73
"PLCG1","SOS1",0.85,0.885
"BATF","STK11",0.73,0.784583333333333
"CD1D","DOCK2",0.7,0.656666666666667
"AIM2","LGALS9",0.71,0.723333333333333
"IL10","IL1R2",0.78,0.825833333333333
"DNAJB9","HLA-E",0.76,0.588333333333333
"GPER1","MAP2K1",0.76,0.849166666666667
"HSP90AB1","XRCC6",0.74,0.549166666666667
"ANXA1","ZC3H8",0.76,0.906666666666667
"ID2","ZC3H12A",0.76,0.881666666666667
"IFNB1","PGLYRP1",0.72,0.960833333333333
"IL1B","TNF",0.71,0.878333333333334
"SFTPD","SOD1",0.7,0.800833333333333
"NMI","OAS1",0.77,0.565833333333333
"POLR3A","RELB",0.76,0.761666666666667
"SIRPA","TLR2",0.73,0.8575
"ISG15","IRF7",0.74,0.505833333333333
"TRIM56","YY1",0.7,0.825833333333333
"CD1A","IL12B",0.71,0.71125
"CCL19","EXT1",0.71,0.745
"CCL5","TLR3",0.76,0.886666666666667
"IL6","NLRP3",0.75,0.663333333333333
"OAS1","OASL",0.84,0.6925
"ADA","ADTRP",0.77,0.879166666666667
"ADA","HOXA7",0.7,0.91
"HMOX1","MIA3",0.7,0.806666666666667
"CAV1","DPP4",0.71,0.76
"CD24","TNFRSF14",0.86,0.655
"CD3E","LCK",0.77,0.925833333333333
"CD40LG","TNFSF14",0.82,0.7625
"ACVR1B","LYN",0.79,0.859166666666667
"RBFOX2","ZFPM1",0.75,0.735
"IRF4","NOTCH2",0.74,0.752916666666667
"CD300A","PHPT1",0.75,0.786666666666667
"EZR","RC3H1",0.87,0.875833333333333
"STAP1","ITGB2",0.7,0.7325
"OASL","OAS1",0.73,0.521666666666667
"EGR1","MNDA",0.71,0.765
"CEBPA","EIF2AK1",0.78,0.84
"CEBPE","NRROS",0.77,0.864583333333333
"HSF1","PTPN2",0.7,0.879166666666667
"FGR","ITGB2",0.75,0.895833333333333
"ITGB1","SYT11",0.79,0.685
"CD74","SLIT2",0.74,0.797083333333333
"HSF1","IL23R",0.71,0.919166666666667
"CARD11","CD86",0.72,0.894166666666667
"CD86","STAT5B",0.73,0.666666666666667
"IL1B","ZFP36",0.81,0.675833333333333
"CD34","TRAF6",0.73,0.756666666666667
"NR1D1","SPHK1",0.71,0.816666666666667
"CXCL8","ICAM1",0.83,0.928333333333333
"SRC","TRIM10",0.72,0.86
"OAS2","PML",0.71,0.9125
"BCL6","RC3H2",0.71,0.720833333333333
